
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000046                       # Number of seconds simulated (Second)
simTicks                                     45971500                       # Number of ticks simulated (Tick)
finalTick                                    45971500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.19                       # Real time elapsed on the host (Second)
hostTickRate                                241422704                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1004632                       # Number of bytes of host memory used (Byte)
simInsts                                        10221                       # Number of instructions simulated (Count)
simOps                                          19607                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    53223                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     102079                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                            91944                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               8.995597                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.111165                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                           35070                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      123                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                          30756                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     60                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                15580                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             26085                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  75                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples               44389                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.692874                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.641359                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     35182     79.26%     79.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                      2249      5.07%     84.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      1703      3.84%     88.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      1362      3.07%     91.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      1247      2.81%     94.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                       909      2.05%     96.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                       970      2.19%     98.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       474      1.07%     99.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       293      0.66%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                 44389                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     290     76.52%     76.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     76.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     76.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     76.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     76.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     76.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     76.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     76.52% # attempts to use FU when none available (Count)
