
---------- Begin Simulation Statistics ----------
simSeconds                                   0.129603                       # Number of seconds simulated (Second)
simTicks                                 129602579000                       # Number of ticks simulated (Tick)
finalTick                                129602579000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    270.75                       # Real time elapsed on the host (Second)
hostTickRate                                478685590                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1055340                       # Number of bytes of host memory used (Byte)
simInsts                                     60113006                       # Number of instructions simulated (Count)
simOps                                      110207605                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   222025                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     407047                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       225482822                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              5.621235                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.177897                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       74068018                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     344                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      74031500                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   533                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             3861385                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          2403086                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                140                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          225337826                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.328536                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.115679                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                202231144     89.75%     89.75% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  4391370      1.95%     91.69% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  6204801      2.75%     94.45% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  1907636      0.85%     95.29% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  4444190      1.97%     97.27% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  3740158      1.66%     98.93% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  1902637      0.84%     99.77% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   512872      0.23%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                     3018      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            225337826                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 491278     99.68%     99.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     99.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     99.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     99.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     99.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     99.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     99.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     99.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     99.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     99.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     99.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     99.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     99.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                    20      0.00%     99.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     99.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                    17      0.00%     99.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    2      0.00%     99.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     99.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     99.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     99.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                  13      0.00%     99.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     99.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     99.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     99.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     99.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     99.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     99.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     99.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     99.69% # attempts to use FU when none available (Count)
