family,file,ncores,sim_seconds,sim_insts,agg_ipc,per_core_ipc,speedup_vs_1c,efficiency
bp,bp_local.txt,1,0.00085,10221.0,0.006024,,1.0,1.0
bp,bp_tage.txt,1,0.00085,10221.0,0.006024,,1.0,1.0
minor,minor_1c.txt,1,0.132423,40129643.0,0.151521,,1.0,1.0
minor,minor_L1_16k_16k_L2_64k_200MHz.txt,1,0.000365,10241.0,0.140159,,362.8027397260274,362.8027397260274
minor,minor_L1_16k_16k_L2_64k_500MHz.txt,1,0.000175,10241.0,0.117107,,756.7028571428572,756.7028571428572
minor,minor_L1_16k_16k_L2_64k_800MHz.txt,1,0.000127,10241.0,0.10074,,1042.7007874015749,1042.7007874015749
minor,minor_2c.txt,2,0.230004,60132631.0,,0.151524|0.102480,0.5757421610058956,0.2878710805029478
minor,minor_4c.txt,4,0.181749,70136811.0,,0.151524|0.101379|0.101549|0.101580,0.7286037337206808,0.1821509334301702
o3,o3_1c.txt,1,0.112739,40110031.0,0.177889,,1.0,1.0
o3,o3_2c.txt,2,0.129603,60113006.0,,0.177897|0.592899,0.8698795552572086,0.4349397776286043
o3,o3_4c.txt,4,0.121895,70117161.0,,0.177898|0.546084|0.547026|0.546978,0.9248861725255343,0.23122154313138357
pipeline,pipeline_basic.txt,1,0.00085,10221.0,0.006024,,1.0,1.0
power,power_200MHz.txt,1,0.000365,10241.0,0.140159,,1.0,1.0
power,power_500MHz.txt,1,0.000175,10241.0,0.117107,,2.0857142857142854,2.0857142857142854
power,power_800MHz.txt,1,0.000127,10241.0,0.10074,,2.874015748031496,2.874015748031496
smt,smt_o3_2threads.txt,1,4.6e-05,10221.0,0.111342,,1.0,1.0
superscalar,superscalar_o3.txt,1,4.6e-05,10221.0,0.111165,,1.0,1.0
